# LAMMPS data file written by OVITO Pro 3.12.1

15040 atoms
4 atom types

-30.0675 33.2325 xlo xhi
-30.0675 33.2325 ylo yhi
-30.0675 33.2325 zlo zhi

Masses

1 183.84  # W
2 1.0  # Type 2
3 1.0  # Type 3
4 1.0  # Type 4

Atoms  # atomic

429 4 -30.0675 4.7475 4.7475
430 3 -28.485 6.33 6.33
431 4 -30.0675 4.7475 7.9125
432 1 -28.485 6.33 9.495
433 3 -30.0675 4.7475 11.0775
434 3 -28.485 6.33 12.66
435 1 -30.0675 4.7475 17.4075
436 3 -28.485 6.33 18.99
437 1 -30.0675 4.7475 20.5725
438 3 -28.485 6.33 22.155
439 3 -30.0675 4.7475 23.7375
440 4 -28.485 6.33 25.32
441 4 -30.0675 4.7475 26.9025
442 4 -28.485 6.33 28.485
443 3 -30.0675 4.7475 30.0675
444 2 -28.485 6.33 31.65
445 2 -30.0675 7.9125 -30.0675
446 4 -30.0675 7.9125 -26.9025
447 2 -28.485 9.495 -25.32
448 3 -30.0675 7.9125 -23.7375
449 2 -28.485 9.495 -22.155
450 3 -30.0675 7.9125 -20.5725
451 4 -28.485 9.495 -18.99
452 1 -30.0675 7.9125 -17.4075
453 2 -28.485 9.495 -15.825
454 2 -30.0675 7.9125 -14.2425
455 1 -28.485 9.495 -12.66
456 1 -30.0675 7.9125 -11.0775
457 1 -28.485 9.495 -9.495
458 4 -30.0675 7.9125 -7.9125
459 4 -28.485 9.495 -6.33
460 3 -30.0675 7.9125 -4.7475
461 2 -28.485 9.495 -3.165
462 4 -30.0675 7.9125 -1.5825
463 4 -28.485 9.495 0.0
464 3 -30.0675 7.9125 1.5825
465 1 -28.485 9.495 3.165
466 4 -30.0675 7.9125 4.7475
467 4 -28.485 9.495 6.33
468 4 -30.0675 7.9125 7.9125
469 2 -28.485 9.495 9.495
470 4 -30.0675 7.9125 11.0775
471 1 -28.485 9.495 12.66
472 3 -30.0675 7.9125 14.2425
473 4 -28.485 9.495 15.825
474 4 -30.0675 7.9125 17.4075
475 2 -28.485 9.495 18.99
476 4 -30.0675 7.9125 20.5725
477 4 -28.485 9.495 22.155
478 2 -30.0675 7.9125 23.7375
479 3 -28.485 9.495 25.32
480 1 -28.485 9.495 28.485
481 1 -30.0675 7.9125 30.0675
482 1 -28.485 9.495 31.65
483 3 -30.0675 11.0775 -30.0675
484 2 -28.485 12.66 -28.485
485 2 -30.0675 11.0775 -26.9025
486 2 -28.485 12.66 -25.32
487 3 -30.0675 11.0775 -23.7375
488 4 -28.485 12.66 -22.155
489 3 -30.0675 11.0775 -20.5725
490 2 -28.485 12.66 -18.99
491 1 -30.0675 11.0775 -17.4075
492 2 -30.0675 11.0775 -14.2425
493 3 -28.485 12.66 -12.66
494 4 -30.0675 11.0775 -11.0775
495 4 -28.485 12.66 -9.495
496 3 -30.0675 11.0775 -7.9125
497 4 -28.485 12.66 -6.33
498 1 -30.0675 11.0775 -4.7475
499 1 -28.485 12.66 -3.165
500 3 -30.0675 11.0775 -1.5825
501 1 -28.485 12.66 0.0
502 3 -30.0675 11.0775 1.5825
503 3 -28.485 12.66 3.165
504 3 -30.0675 11.0775 4.7475
505 3 -28.485 12.66 6.33
506 3 -30.0675 11.0775 7.9125
507 3 -28.485 12.66 9.495
508 3 -30.0675 11.0775 11.0775
509 3 -28.485 12.66 12.66
510 4 -30.0675 11.0775 14.2425
511 2 -28.485 12.66 15.825
512 1 -28.485 12.66 18.99
513 4 -30.0675 11.0775 20.5725
514 4 -28.485 12.66 22.155
515 3 -30.0675 11.0775 23.7375
516 1 -28.485 12.66 25.32
517 3 -30.0675 11.0775 26.9025
518 1 -30.0675 11.0775 30.0675
519 1 -28.485 12.66 31.65
520 3 -30.0675 14.2425 -30.0675
521 4 -28.485 15.825 -28.485
522 1 -30.0675 14.2425 -26.9025
523 3 -28.485 15.825 -25.32
524 4 -30.0675 14.2425 -23.7375
525 2 -28.485 15.825 -22.155
526 2 -30.0675 14.2425 -20.5725
527 1 -28.485 15.825 -18.99
528 3 -30.0675 14.2425 -17.4075
529 4 -28.485 15.825 -15.825
530 4 -30.0675 14.2425 -14.2425
531 3 -28.485 15.825 -12.66
532 3 -30.0675 14.2425 -11.0775
533 2 -28.485 15.825 -9.495
534 3 -30.0675 14.2425 -7.9125
535 2 -30.0675 14.2425 -4.7475
536 1 -28.485 15.825 -3.165
537 2 -30.0675 14.2425 -1.5825
538 1 -28.485 15.825 0.0
539 3 -30.0675 14.2425 1.5825
540 3 -28.485 15.825 3.165
541 1 -30.0675 14.2425 4.7475
542 2 -30.0675 14.2425 7.9125
543 2 -28.485 15.825 9.495
544 4 -30.0675 14.2425 11.0775
545 4 -28.485 15.825 12.66
546 4 -30.0675 14.2425 14.2425
547 3 -28.485 15.825 15.825
548 3 -30.0675 14.2425 17.4075
549 4 -28.485 15.825 18.99
550 3 -30.0675 14.2425 20.5725
551 3 -28.485 15.825 22.155
552 1 -30.0675 14.2425 23.7375
553 1 -28.485 15.825 25.32
554 2 -30.0675 14.2425 26.9025
555 3 -28.485 15.825 28.485
556 4 -30.0675 14.2425 30.0675
557 1 -28.485 15.825 31.65
558 2 -30.0675 17.4075 -30.0675
